timestamp,step,peak_equity,equity,drawdown_pct
1764547200000,0,10000.000000,10000.000000,0.000000
1765119600000,1,10065.464348,10065.464348,0.000000
1765465200000,2,10065.464348,10010.971624,0.541383
1765584000000,3,10065.464348,10022.515054,0.426700
1765760400000,4,10065.464348,10005.916310,0.591607
1767733200000,5,10065.464348,10026.393988,0.388163
1768593600000,6,10067.560435,10067.560435,0.000000
1768809600000,7,10067.560435,10035.297288,0.320466
1770652800000,8,10124.737574,10124.737574,0.000000
